city_ch;date;district;area;xiaoqu;price;sale
苏州;20201222;高新;枫桥;鑫苑国际花园南区(虎丘区);35032;90
苏州;20201222;高新;枫桥;苏高新天之运;28336;147
苏州;20201222;高新;枫桥;旭辉御府;37536;42
苏州;20201222;高新;枫桥;大地之歌;27497;59
苏州;20201222;高新;枫桥;新区港龙城市商业广场;15339;85
苏州;20201222;高新;枫桥;东浜新苑南区;29141;42
苏州;20201222;高新;枫桥;马浜花园西区;26481;33
苏州;20201222;高新;枫桥;马浜花园北区;29739;56
苏州;20201222;高新;枫桥;姚桥新苑;29958;16
苏州;20201222;高新;枫桥;金科王府一期;38788;21
苏州;20201222;高新;枫桥;林枫苑;22811;44
苏州;20201222;高新;枫桥;东浜新苑北区;26466;28
苏州;20201222;高新;枫桥;新毛家花园;23402;38
苏州;20201222;高新;枫桥;张步新村;31792;9
苏州;20201222;高新;枫桥;马浜花园南区;30699;29
苏州;20201222;高新;枫桥;鑫苑国际城市花园北区(虎丘区);35097;64
苏州;20201222;高新;枫桥;康佳花园四区;25857;25
苏州;20201222;高新;枫桥;富康新村;24465;26
苏州;20201222;高新;枫桥;康佳花园二区;26120;15
苏州;20201222;高新;枫桥;康佳花园五区;25313;21
苏州;20201222;高新;枫桥;康佳花园三区;25549;19
苏州;20201222;高新;枫桥;枫秀苑;24465;18
苏州;20201222;高新;枫桥;金科王府二期;31361;8
苏州;20201222;高新;枫桥;佳林花苑;41251;4
苏州;20201222;高新;枫桥;康佳花园一区;24733;9
苏州;20201222;高新;枫桥;天之运寓199;20484;27
苏州;20201222;高新;枫桥;蓝天广场;14124;39
苏州;20201222;高新;枫桥;金科王府三期;32231;2
苏州;20201222;高新;枫桥;河畔人家;26018;1
苏州;20201222;高新;枫桥;康佳花园;24681;4
苏州;20201222;高新;枫桥;康佳花园六区;24897;4
苏州;20201222;高新;枫桥;枫津大街小区;24663;2
苏州;20201222;高新;枫桥;马浜商业街;0;0
苏州;20201222;高新;横塘;仁恒棠悦湾;41022;67
苏州;20201222;高新;横塘;山水映象;25304;83
苏州;20201222;高新;横塘;新创宝带熙岸;25406;87
苏州;20201222;高新;横塘;湖畔佳苑;24034;35
苏州;20201222;高新;横塘;学府花苑;20169;68
苏州;20201222;高新;横塘;锦悦湾雅园;38236;20
苏州;20201222;高新;横塘;中锐星悦湾名苑;28732;40
苏州;20201222;高新;横塘;湖畔翠庭;22135;26
苏州;20201222;高新;横塘;美田山水之恋;30928;21
苏州;20201222;高新;横塘;石湖花园;18812;12
苏州;20201222;高新;横塘;星韵花园二期;38699;35
苏州;20201222;高新;横塘;石湖山水居;18799;2
苏州;20201222;高新;横塘;星韵花园三期;35286;23
苏州;20201222;高新;横塘;水岸秀墅;30691;2
苏州;20201222;高新;横塘;彩云花园;19697;4
